reference sequences,length,mapped,unmapped
XIII,924431,476935,0
XIV,784333,203362,0
XV,1091291,356191,0
XVI,948066,199308,0
Mito,85779,5961,0
*,0,0,10287068
eIF4E-Total-1,,,
I,230218,217512,0
II,813184,858427,0
III,316620,428554,0
IV,1531933,877516,0
V,576874,1172387,0
VI,270161,189121,0
VII,1090940,1044621,0
VIII,562643,484183,0
IX,439888,191176,0
X,745751,1004122,0
XI,666816,850268,0
XII,1078177,1356973,0
XIII,924431,926137,0
XIV,784333,572291,0
XV,1091291,926164,0
XVI,948066,547048,0
Mito,85779,189139,0
*,0,0,49005183
eIF4E-Total-2,,,
I,230218,175194,0
II,813184,437191,0
III,316620,287448,0
IV,1531933,599646,0
V,576874,436231,0
VI,270161,129157,0
VII,1090940,764845,0
VIII,562643,377253,0
IX,439888,129714,0
X,745751,563828,0
XI,666816,649231,0
XII,1078177,1035735,0
XIII,924431,559329,0
XIV,784333,340130,0
XV,1091291,641719,0
XVI,948066,384539,0
Mito,85779,40038,0
*,0,0,33991505
EIF4E-Total-3,,,
I,230218,44112,0
II,813184,139915,0
III,316620,62432,0
IV,1531933,142129,0
V,576874,181860,0
VI,270161,31963,0
VII,1090940,187116,0
VIII,562643,93919,0
IX,439888,30297,0
X,745751,110030,0
XI,666816,132682,0
XII,1078177,214139,0
XIII,924431,115185,0
XIV,784333,78284,0
XV,1091291,137434,0
XVI,948066,87386,0
Mito,85779,17067,0
*,0,0,6840667
eIFG1-IP-1,,,
I,230218,407631,0
II,813184,1537997,0
III,316620,606214,0
IV,1531933,1835038,0
V,576874,901618,0
VI,270161,374690,0
VII,1090940,2048367,0
VIII,562643,807624,0
IX,439888,446674,0
X,745751,1121121,0
XI,666816,1166684,0
XII,1078177,1972126,0
XIII,924431,1391420,0
XIV,784333,1081046,0
XV,1091291,1698643,0
XVI,948066,1089034,0
Mito,85779,31760,0
*,0,0,49189111
eIFG1-IP-2,,,
I,230218,116008,0
II,813184,442660,0
III,316620,186780,0
IV,1531933,455434,0
V,576874,258019,0
VI,270161,110017,0
VII,1090940,544644,0
VIII,562643,219296,0
IX,439888,130269,0
X,745751,366859,0
XI,666816,300880,0
XII,1078177,517025,0
XIII,924431,489754,0
XIV,784333,281328,0
XV,1091291,500077,0
XVI,948066,271524,0
Mito,85779,8210,0
*,0,0,12695462
eIFG1-IP-3,,,
I,230218,314538,0
II,813184,1114773,0
III,316620,349772,0
IV,1531933,928877,0
V,576874,848198,0
VI,270161,181977,0
VII,1090940,1125568,0
VIII,562643,516256,0
IX,439888,206652,0
X,745751,889702,0
XI,666816,834992,0
XII,1078177,1644528,0
XIII,924431,883577,0
XIV,784333,556085,0
XV,1091291,924928,0
XVI,948066,570021,0
