1A,1B,1C,2,← Groups from AD normalisation
,,,,
YEL039C,YBR063C,YGL066W,YDR313C,
YEL059W,YBR065C,YGL067W,YDR314C,
YEL063C,YBR066C,YGL099W,YDR319C,
YER026C,YBR067C,YGL115W,YDR356W,
YER042W,YBR069C,YGL129C,YDR358W,
YER078C,YBR070C,YGL134W,YDR359C,
YER103W,YBR072W,YGL136C,YDR374C,
YER116C,YBR076C-A,YGL141W,YDR376W,
YER118C,YBR077C,YGL158W,YDR380W,
YER123W,YBR085C-A,YGL174W,YDR382W,
YER133W,YBR085W,YGL201C,YDR384C,
YER139C,YBR087W,YGL254W,YDR385W,
YER162C,YBR088C,YGL258W,YDR402C,
YER165W,YBR089C-A,YGR003W,YDR416W,
YER182W,YBR090C,YGR004W,YDR425W,
YFL002C,YBR091C,YGR013W,YDR451C,
YFL008W,YBR092C,YGR049W,YDR463W,
YFL031W,YBR093C,YGR052W,YDR477W,
YFL048C,YBR096W,YGR081C,YDR484W,
YFR037C,YBR098W,YGR085C,YDR485C,
YFR039C,YBR099C,YGR091W,YDR492W,
YGL003C,YBR101C,YGR095C,YDR515W,
YGL045W,YBR103W,YGR107W,YDR520C,
YGL050W,YBR104W,YGR117C,YDR524C,
YGL077C,YBR106W,YGR124W,YDR527W,
YGL083W,YBR107C,YGR132C,YDR540C,
YGL120C,YBR109W-A,YGR165W,YEL007W,
YGL172W,YBR110W,YGR187C,YEL017C-A,
YGL196W,YBR111W-A,YGR188C,YEL018W,
YGL215W,YBR117C,YGR197C,YEL033W,
YGL216W,YBR119W,YGR215W,YEL045C,
YGL229C,YBR120C,YGR221C,YEL046C,
YGL233W,YBR122C,YGR244C,YEL065W,
YGL237C,YBR125C,YGR276C,YER006W,
YGL251C,YBR130C,YGR280C,YER008C,
YGL255W,YBR133C,YGR282C,YER012W,
YGR021W,YBR137W,YGR289C,YER023W,
YGR025W,YBR145W,YHL020C,YER029C,
YGR042W,YBR147W,YHL031C,YER032W,
YGR058W,YBR151W,YHR005C-A,YER038W-A,
YGR063C,YBR153W,YHR007C-A,YER048C,
YGR064W,YBR158W,YHR018C,YER049W,
YGR075C,YBR161W,YHR022C,YER052C,
YGR078C,YBR162W-A,YHR041C,YER054C,
YGR099W,YBR164C,YHR063C,YER056C-A,
YGR104C,YBR167C,YHR088W,YER068W,
YGR152C,YBR173C,YHR118C,YER086W,
YGR178C,YBR175W,YHR140W,YER096W,
YGR185C,YBR181C,YHR181W,YER124C,
YGR206W,YBR182C,YIL010W,YER127W,
YGR230W,YBR183W,YIL044C,YER131W,
YGR239C,YBR184W,YIL059C,YER147C,
YGR255C,YBR185C,YIL067C,YER157W,
YGR278W,YBR187W,YIL068C,YER171W,
YHL014C,YBR188C,YIL086C,YFL005W,
