1,2A,2B,2C,3A,3B
,,YJR051W,,YLR131C,
,,YJR057W,,YLR143W,
,,YJR058C,,YLR144C,
,,YJR063W,,YLR163C,
,,YJR068W,,YLR182W,
,,YJR073C,,YLR187W,
,,YJR074W,,YLR189C,
,,YJR077C,,YLR203C,
,,YJR085C,,YLR215C,
,,YJR094W-A,,YLR219W,
,,YJR104C,,YLR225C,
,,YJR106W,,YLR228C,
,,YJR127C,,YLR240W,
,,YJR129C,,YLR247C,
,,YJR135W-A,,YLR248W,
,,YJR147W,,YLR253W,
,,YKL002W,,YLR256W,
,,YKL003C,,YLR258W,
,,YKL004W,,YLR274W,
,,YKL006C-A,,YLR277C,
,,YKL006W,,YLR278C,
,,YKL007W,,YLR305C,
,,YKL013C,,YLR309C,
,,YKL015W,,YLR310C,
,,YKL016C,,YLR319C,
,,YKL019W,,YLR335W,
,,YKL023C-A,,YLR347C,
,,YKL024C,,YLR352W,
,,YKL043W,,YLR355C,
,,YKL046C,,YLR357W,
,,YKL051W,,YLR362W,
,,YKL053C-A,,YLR369W,
,,YKL056C,,YLR371W,
,,YKL058W,,YLR373C,
,,YKL065C,,YLR382C,
,,YKL066W,,YLR387C,
,,YKL067W,,YLR389C,
,,YKL069W,,YLR397C,
,,YKL077W,,YLR398C,
,,YKL096W-A,,YLR399C,
,,YKL098W,,YLR403W,
,,YKL117W,,YLR405W,
,,YKL132C,,YLR409C,
,,YKL138C,,YLR410W,
,,YKL141W,,YLR422W,
,,YKL151C,,YLR436C,
,,YKL156W,,YLR439W,
,,YKL160W,,YLR443W,
,,YKL165C,,YLR451W,
,,YKL174C,,YLR452C,
,,YKL176C,,YLR455W,
,,YKL180W,,YML007W,
,,YKL190W,,YML016C,
,,YKL192C,,YML017W,
,,YKL193C,,YML020W,
,,YKL196C,,YML025C,
,,YKL207W,,YML029W,
,,YKL213C,,YML032C,
,,YKR014C,,YML034W,
,,YKR042W,,YML035C,
,,YKR046C,,YML049C,
,,YKR050W,,YML064C,
,,YKR057W,,YML080W,
,,YKR068C,,YML082W,
,,YKR074W,,YML102W,
,,YKR094C,,YML103C,
,,YKR100C,,YML111W,
,,YLL014W,,YML117W,
,,YLL022C,,YMR001C,
,,YLL023C,,YMR012W,
,,YLL028W,,YMR016C,
,,YLL050C,,YMR021C,
,,YLL051C,,YMR024W,
,,YLR007W,,YMR029C,
,,YLR016C,,YMR031C,
,,YLR020C,,YMR032W,
,,YLR021W,,YMR033W,
,,YLR034C,,YMR043W,
,,YLR038C,,YMR047C,
,,YLR043C,,YMR054W,
,,YLR048W,,YMR093W,
,,YLR050C,,YMR100W,
,,YLR059C,,YMR102C,
,,YLR061W,,YMR109W,
,,YLR065C,,YMR115W,
,,YLR066W,,YMR125W,
,,YLR074C,,YMR128W,
,,YLR078C,,YMR129W,
,,YLR079W,,YMR140W,
,,YLR099W-A,,YMR157C,
,,YLR105C,,YMR166C,
,,YLR109W,,YMR190C,
,,YLR110C,,YMR196W,
,,YLR118C,,YMR207C,
,,YLR120C,,YMR212C,
,,YLR121C,,YMR216C,
,,YLR130C,,YMR218C,
,,YLR137W,,YMR219W,
,,YLR138W,,YMR223W,
,,YLR150W,,YMR229C,
,,YLR152C,,YMR231W,
,,YLR179C,,YMR247C,
,,YLR185W,,YMR259C,
,,YLR201C,,YMR261C,
,,YLR216C,,YMR265C,
,,YLR224W,,YMR267W,
,,YLR250W,,YMR275C,
,,YLR251W,,YMR277W,
,,YLR262C-A,,YMR287C,
,,YLR264W,,YMR288W,
,,YLR266C,,YMR291W,
,,YLR268W,,YMR300C,
,,YLR285W,,YMR309C,
,,YLR286C,,YMR310C,
,,YLR287C-A,,YMR311C,
,,YLR292C,,YNL020C,
,,YLR293C,,YNL021W,
,,YLR295C,,YNL023C,
,,YLR325C,,YNL027W,
,,YLR327C,,YNL053W,
,,YLR333C,,YNL062C,
,,YLR344W,,YNL068C,
,,YLR348C,,YNL072W,
,,YLR350W,,YNL078W,
,,YLR351C,,YNL085W,
,,YLR367W,,YNL087W,
,,YLR370C,,YNL088W,
,,YLR375W,,YNL091W,
,,YLR378C,,YNL097C,
,,YLR388W,,YNL102W,
,,YLR390W-A,,YNL103W,
,,YLR395C,,YNL106C,
,,YLR406C,,YNL118C,
,,YLR412W,,YNL123W,
,,YLR414C,,YNL127W,
,,YLR421C,,YNL137C,
,,YLR426W,,YNL139C,
,,YLR438W,,YNL152W,
,,YLR447C,,YNL154C,
,,YML012W,,YNL161W,
,,YML022W,,YNL163C,
,,YML023C,,YNL165W,
,,YML024W,,YNL183C,
,,YML026C,,YNL192W,
,,YML028W,,YNL197C,
,,YML051W,,YNL201C,
,,YML058W,,YNL207W,
,,YML078W,,YNL212W,
,,YML079W,,YNL216W,
,,YML081C-A,,YNL221C,
,,YML101C,,YNL229C,
,,YML110C,,YNL231C,
,,YML130C,,YNL236W,
,,YMR008C,,YNL242W,
,,YMR009W,,YNL243W,
,,YMR020W,,YNL251C,
,,YMR022W,,YNL256W,
,,YMR035W,,YNL258C,
,,YMR071C,,YNL261W,
,,YMR072W,,YNL262W,
,,YMR073C,,YNL267W,
,,YMR074C,,YNL271C,
,,YMR090W,,YNL272C,
,,YMR119W,,YNL273W,
,,YMR121C,,YNL275W,
,,YMR122W-A,,YNL278W,
,,YMR142C,,YNL287W,
,,YMR143W,,YNL289W,
,,YMR149W,,YNL295W,
,,YMR150C,,YNL297C,
,,YMR171C,,YNL298W,
,,YMR173W,,YNL310C,
,,YMR180C,,YNL313C,
,,YMR183C,,YNL315C,
,,YMR194W,,YNL317W,
,,YMR202W,,YNL330C,
,,YMR221C,,YNR013C,
,,YMR230W,,YNR026C,
,,YMR235C,,YNR031C,
,,YMR236W,,YNR033W,
,,YMR241W,,YNR040W,
,,YMR242C,,YNR047W,
,,YMR244C-A,,YNR052C,
,,YMR250W,,YNR053C,
,,YMR251W-A,,YOL004W,
,,YMR256C,,YOL006C,
,,YMR260C,,YOL010W,
,,YMR262W,,YOL021C,
,,YMR264W,,YOL051W,
,,YMR289W,,YOL068C,
,,YMR292W,,YOL072W,
,,YMR295C,,YOL076W,
,,YMR305C,,YOL082W,
,,YMR316W,,YOL089C,
,,YMR319C,,YOL090W,
,,YNL003C,,YOL116W,
,,YNL006W,,YOL123W,
,,YNL007C,,YOL126C,
,,YNL015W,,YOL145C,
,,YNL024C-A,,YOR017W,
,,YNL030W,,YOR018W,
,,YNL031C,,YOR023C,
,,YNL038W,,YOR025W,
,,YNL040W,,YOR034C,
,,YNL046W,,YOR035C,
,,YNL052W,,YOR038C,
,,YNL055C,,YOR047C,
,,YNL056W,,YOR048C,
,,YNL063W,,YOR056C,
,,YNL066W,,YOR059C,
,,YNL067W,,YOR062C,
,,YNL069C,,YOR066W,
,,YNL070W,,YOR069W,
,,YNL079C,,YOR070C,
,,YNL080C,,YOR081C,
,,YNL084C,,YOR083W,
,,YNL090W,,YOR084W,
,,YNL094W,,YOR093C,
,,YNL096C,,YOR098C,
,,YNL125C,,YOR109W,
,,YNL131W,,YOR113W,
,,YNL135C,,YOR116C,
,,YNL145W,,YOR124C,
,,YNL149C,,YOR138C,
,,YNL153C,,YOR141C,
,,YNL159C,,YOR151C,
,,YNL162W,,YOR153W,
,,YNL190W,,YOR160W,
,,YNL200C,,YOR172W,
,,YNL217W,,YOR188W,
,,YNL244C,,YOR201C,
,,YNL259C,,YOR206W,
,,YNL264C,,YOR207C,
,,YNL274C,,YOR211C,
,,YNL281W,,YOR212W,
,,YNL283C,,YOR233W,
,,YNL294C,,YOR250C,
,,YNL302C,,YOR259C,
,,YNL305C,,YOR264W,
,,YNL306W,,YOR267C,
,,YNL322C,,YOR269W,
,,YNR008W,,YOR290C,
,,YNR029C,,YOR304W,
,,YNR030W,,YOR322C,
,,YNR036C,,YOR326W,
,,YNR037C,,YOR329C,
,,YNR051C,,YOR330C,
,,YNR055C,,YOR337W,
,,YNR059W,,YOR341W,
,,YOL005C,,YOR344C,
,,YOL011W,,YOR347C,
,,YOL012C,,YOR354C,
,,YOL014W,,YOR360C,
,,YOL016C,,YOR361C,
,,YOL026C,,YOR371C,
,,YOL036W,,YOR372C,
,,YOL038W,,YOR373W,
,,YOL039W,,YPL012W,
,,YOL040C,,YPL014W,
,,YOL048C,,YPL019C,
,,YOL049W,,YPL023C,
,,YOL060C,,YPL026C,
,,YOL062C,,YPL029W,
,,YOL064C,,YPL032C,
,,YOL086W-A,,YPL042C,
,,YOL088C,,YPL043W,
,,YOL109W,,YPL049C,
,,YOL110W,,YPL074W,
,,YOL112W,,YPL082C,
,,YOL120C,,YPL084W,
,,YOL121C,,YPL085W,
,,YOL127W,,YPL089C,
,,YOL129W,,YPL093W,
,,YOL133W,,YPL097W,
,,YOL136C,,YPL105C,
,,YOL143C,,YPL116W,
,,YOL153C,,YPL125W,
,,YOL158C,,YPL126W,
,,YOL164W,,YPL128C,
,,YOR011W,,YPL150W,
,,YOR020C,,YPL155C,
,,YOR020W-A,,YPL158C,
,,YOR026W,,YPL172C,
,,YOR027W,,YPL173W,
,,YOR040W,,YPL179W,
,,YOR045W,,YPL180W,
,,YOR051C,,YPL183C,
,,YOR067C,,YPL188W,
,,YOR071C,,YPL204W,
,,YOR096W,,YPL210C,
,,YOR103C,,YPL217C,
,,YOR120W,,YPL226W,
,,YOR122C,,YPL236C,
,,YOR125C,,YPL242C,
,,YOR126C,,YPL243W,
,,YOR163W,,YPL254W,
,,YOR164C,,YPL259C,
,,YOR167C,,YPR019W,
,,YOR173W,,YPR022C,
,,YOR174W,,YPR029C,
,,YOR182C,,YPR032W,
,,YOR198C,,YPR034W,
,,YOR210W,,YPR042C,
,,YOR219C,,YPR048W,
,,YOR220W,,YPR055W,
,,YOR224C,,YPR089W,
,,YOR226C,,YPR097W,
,,YOR228C,,YPR112C,
,,YOR231W,,YPR119W,
,,YOR234C,,YPR122W,
,,YOR236W,,YPR155C,
,,YOR245C,,YPR159W,
,,YOR246C,,YPR160W,
,,YOR253W,,YPR161C,
,,YOR261C,,YPR164W,
,,YOR273C,,YPR175W,
,,YOR285W,,YPR181C,
,,YOR289W,,YPR184W,
,,YOR292C,,YPR189W,
,,YOR293W,,YDL178W,
,,YOR294W,,YGR103W,
,,YOR298C-A,,YJR002W,
,,YOR299W,,YJR040W,
,,YOR303W,,YKL040C,
,,YOR311C,,YMR058W,
,,YOR327C,,YDR311W,
,,YOR328W,,YEL013W,
,,YOR332W,,YGR117C,
,,YOR336W,,YJL208C,
,,YOR357C,,YKL166C,
,,YOR369C,,YMR258C,
,,YOR381W,,YNL047C,
,,YOR382W,,YNL101W,
,,YPL003W,,YOL063C,
,,YPL006W,,YOR037W,
,,YPL015C,,YOR127W,
,,YPL024W,,YOR158W,
,,YPL037C,,YBR126C,
,,YPL058C,,YCR011C,
,,YPL059W,,YEL071W,
,,YPL067C,,YER019W,
,,YPL075W,,YFL054C,
,,YPL078C,,YGL008C,
,,YPL088W,,YGL167C,
,,YPL094C,,YGR088W,
,,YPL098C,,YHR094C,
,,YPL099C,,YIL067C,
,,YPL135W,,YJR131W,
,,YPL143W,,YKL208W,
,,YPL149W,,YLL015W,
,,YPL170W,,YML100W,
,,YPL203W,,YML128C,
,,YPL211W,,YOR161C,
,,YPL214C,,YOR204W,
,,YPL218W,,,
,,YPL220W,,,
,,YPL221W,,,
,,YPL225W,,,
,,YPL234C,,,
,,YPL237W,,,
,,YPL240C,,,
,,YPL244C,,,
,,YPL246C,,,
,,YPL249C-A,,,
,,YPL270W,,,
,,YPL271W,,,
,,YPL273W,,,
,,YPL274W,,,
,,YPR006C,,,
,,YPR017C,,,
,,YPR028W,,,
,,YPR036W-A,,,
,,YPR037C,,,
,,YPR043W,,,
,,YPR051W,,,
,,YPR062W,,,
,,YPR067W,,,
,,YPR075C,,,
,,YPR098C,,,
,,YPR100W,,,
,,YPR102C,,,
,,YPR109W,,,
,,YPR113W,,,
,,YPR114W,,,
,,YPR127W,,,
,,YPR132W,,,
,,YPR133W-A,,,
,,YPR138C,,,
,,YPR154W,,,
,,YPR156C,,,
,,YPR157W,,,
,,YPR158W,,,
,,YPR166C,,,
,,YPR180W,,,
,,YPR182W,,,
,,YPR183W,,,
,,YPR185W,,,
,,YPR187W,,,
,,YPR188C,,,
,,YPR199C,,,
