1,2A,2B,2C,3A,3B
YGL237C,YGL101W,YCL001W,YDR298C,YCR047C,YDR361C
YGL248W,YGL112C,YCL002C,YDR321W,YCR065W,YDR384C
YGR041W,YKL073W,YCL005W,YDR353W,YCR072C,YDR388W
YGR062C,YKL110C,YCL005W-A,YDR368W,YCR077C,YDR415C
YGR070W,YKL206C,YCL009C,YDR372C,YCR081W,YDR477W
YGR101W,YKR084C,YCL010C,YDR385W,YCR084C,YDR502C
YGR127W,YLR132C,YCL011C,YDR429C,YCR093W,YDR539W
YGR142W,YLR196W,YCL033C,YDR432W,YDL005C,YEL002C
YGR147C,YNL100W,YCL035C,YDR444W,YDL013W,YEL031W
YGR162W,YOR340C,YCL040W,YDR483W,YDL019C,YEL056W
YGR170W,YPL122C,YCL047C,YDR487C,YDL020C,YEL065W
YGR223C,YDR306C,YCL049C,YDR497C,YDL031W,YER003C
YGR238C,YDR514C,YCL051W,YDR508C,YDL058W,YER006W
YGR258C,YER078C,YCL052C,YDR516C,YDL060W,YER021W
YGR288W,YFR010W,YCL057C-A,YDR518W,YDL066W,YER025W
YHL008C,YKR030W,YCR009C,YEL037C,YDL074C,YER026C
YHL025W,YNR048W,YCR021C,YEL040W,YDL087C,YER027C
YHL036W,YPL118W,YCR023C,YEL042W,YDL088C,YER036C
YHR034C,,YCR024C-A,YEL047C,YDL102W,YER043C
YHR058C,,YCR024C-B,YEL054C,YDL112W,YER049W
YHR078W,,YCR028C-A,YEL058W,YDL116W,YER052C
YHR082C,,YCR031C,YER055C,YDL117W,YER056C
YHR131C,,YCR036W,YER089C,YDL122W,YER069W
YHR150W,,YCR043C,YER094C,YDL132W,YER083C
YHR195W,,YCR046C,YER102W,YDL133W,YER086W
YIL003W,,YCR048W,YER107C,YDL140C,YER090W
YIL017C,,YCR051W,YER165W,YDL155W,YER091C
YIL031W,,YCR059C,YER177W,YDL159W,YER100W
YIL056W,,YCR068W,YER178W,YDL160C,YER110C
YIL077C,,YCR073W-A,YFL005W,YDL190C,YER126C
YIL134W,,YCR075C,YFL010C,YDL195W,YER136W
YIL151C,,YCR076C,YFL018C,YDL198C,YER143W
YIL156W,,YCR079W,YFL026W,YDL203C,YER156C
YIR002C,,YCR082W,YFL028C,YDL215C,YER166W
YIR016W,,YCR083W,YFL034C-A,YDL220C,YER168C
YJL063C,,YCR090C,YFL038C,YDL224C,YFL022C
YJL072C,,YCR097W,YFL039C,YDL225W,YFR006W
YJL078C,,YDL004W,YFL041W,YDL227C,YFR009W
YJL099W,,YDL046W,YFL045C,YDL233W,YFR051C
YJL100W,,YDL047W,YFL048C,YDL234C,YFR052W
YJL101C,,YDL061C,YFR024C-A,YDL240W,YGL009C
YJL104W,,YDL064W,YFR031C-A,YDR001C,YGL016W
YJL133W,,YDL067C,YFR042W,YDR006C,YGL026C
YJL139C,,YDL070W,YFR044C,YDR011W,YGL038C
YJL165C,,YDL072C,YFR053C,YDR017C,YGL040C
YJL171C,,YDL075W,YGL001C,YDR028C,YGL048C
YJL212C,,YDL081C,YGL011C,YDR034C,YGL055W
YJR019C,,YDL083C,YGL012W,YDR061W,YGL065C
YJR021C,,YDL086W,YGL022W,YDR072C,YGL078C
YJR039W,,YDL092W,YGL037C,YDR074W,YGL091C
YJR101W,,YDL120W,YGL068W,YDR081C,YGL119W
YJR110W,,YDL125C,YGL076C,YDR089W,YGL120C
YJR113C,,YDL130W,YGL077C,YDR096W,YGL122C
YJR144W,,YDL133C-A,YGL084C,YDR097C,YGL130W
YKL052C,,YDL136W,YGL105W,YDR103W,YGL137W
YKL064W,,YDL138W,YGL115W,YDR119W,YGL156W
YKL167C,,YDL142C,YGL147C,YDR122W,YGL161C
YKL170W,,YDL144C,YGL148W,YDR123C,YGL169W
YKL183W,,YDL146W,YGL157W,YDR128W,YGL195W
YKL198C,,YDL157C,YGL221C,YDR141C,YGL202W
YKL204W,,YDL173W,YGR019W,YDR142C,YGL207W
YKR006C,,YDL180W,YGR132C,YDR144C,YGL219C
YKR007W,,YDL184C,YGR135W,YDR147W,YGL234W
YKR036C,,YDL191W,YGR175C,YDR150W,YGL245W
YKR038C,,YDL206W,YGR180C,YDR151C,YGL253W
YKR052C,,YDL208W,YGR185C,YDR153C,YGR012W
YKR085C,,YDL226C,YGR191W,YDR159W,YGR060W
YLL038C,,YDL231C,YGR192C,YDR165W,YGR061C
YLL039C,,YDL235C,YGR253C,YDR166C,YGR078C
YLR072W,,YDL238C,YGR262C,YDR171W,YGR080W
YLR087C,,YDR002W,YGR267C,YDR172W,YGR083C
YLR099C,,YDR003W,YGR284C,YDR175C,YGR094W
YLR107W,,YDR007W,YHL032C,YDR176W,YGR123C
YLR114C,,YDR016C,YHL033C,YDR180W,YGR124W
YLR168C,,YDR023W,YHL034C,YDR194C,YGR155W
YLR177W,,YDR025W,YHR009C,YDR200C,YGR159C
YLR206W,,YDR031W,YHR016C,YDR208W,YGR173W
YLR276C,,YDR046C,YHR020W,YDR216W,YGR177C
YLR283W,,YDR047W,YHR029C,YDR237W,YGR189C
YLR324W,,YDR059C,YHR039C,YDR244W,YGR193C
YLR345W,,YDR064W,YHR045W,YDR251W,YGR195W
YLR417W,,YDR086C,YHR049W,YDR266C,YGR200C
YLR430W,,YDR092W,YHR050W,YDR280W,YGR204W
YML018C,,YDR099W,YHR064C,YDR283C,YGR205W
